gs_id	gene_id
GO:0045664	429
GO:0045664	466
GO:0045664	474
GO:0045664	596
GO:0045664	627
GO:0045664	650
GO:0045664	653
GO:0045664	654
GO:0045664	655
GO:0045664	663
GO:0045664	773
GO:0045664	811
GO:0045664	816
GO:0045664	894
GO:0045664	991
GO:0045664	1000
GO:0045664	1002
GO:0045664	1020
GO:0045664	1123
GO:0045664	1136
GO:0045664	1141
GO:0045664	1234
GO:0045664	1268
GO:0045664	1270
GO:0045664	1482
GO:0045664	1627
GO:0045664	1630
GO:0045664	1716
GO:0045664	1789
GO:0045664	1808
GO:0045664	1809
GO:0045664	1822
GO:0045664	1826
GO:0045664	1840
GO:0045664	1855
GO:0045664	1894
GO:0045664	1902
GO:0045664	1910
GO:0045664	1942
GO:0045664	2011
GO:0045664	2033
GO:0045664	2042
GO:0045664	2043
GO:0045664	2049
GO:0045664	2056
GO:0045664	2138
GO:0045664	2185
GO:0045664	2242
GO:0045664	2258
GO:0045664	2260
GO:0045664	2288
GO:0045664	2290
GO:0045664	2395
GO:0045664	2670
GO:0045664	2672
GO:0045664	2736
GO:0045664	3066
GO:0045664	3146
GO:0045664	3169
GO:0045664	3170
GO:0045664	3196
GO:0045664	3199
GO:0045664	3232
GO:0045664	3280
GO:0045664	3398
GO:0045664	3400
GO:0045664	3458
GO:0045664	3569
GO:0045664	3611
GO:0045664	3636
GO:0045664	3670
GO:0045664	3688
GO:0045664	3956
GO:0045664	3976
GO:0045664	3984
GO:0045664	4009
GO:0045664	4058
GO:0045664	4067
GO:0045664	4076
GO:0045664	4086
GO:0045664	4099
GO:0045664	4131
GO:0045664	4137
GO:0045664	4208
GO:0045664	4504
GO:0045664	4681
GO:0045664	4683
GO:0045664	4734
GO:0045664	4741
GO:0045664	4760
GO:0045664	4761
GO:0045664	4762
GO:0045664	4803
GO:0045664	4804
GO:0045664	4821
GO:0045664	4825
GO:0045664	4851
GO:0045664	4854
GO:0045664	4897
GO:0045664	4914
GO:0045664	4915
GO:0045664	4916
GO:0045664	4974
GO:0045664	5029
GO:0045664	5048
GO:0045664	5064
GO:0045664	5364
GO:0045664	5376
GO:0045664	5454
GO:0045664	5469
GO:0045664	5526
GO:0045664	5584
GO:0045664	5587
GO:0045664	5629
GO:0045664	5649
GO:0045664	5663
GO:0045664	5728
GO:0045664	5747
GO:0045664	5753
GO:0045664	5754
GO:0045664	5789
GO:0045664	5792
GO:0045664	5800
GO:0045664	5911
GO:0045664	5978
GO:0045664	5979
GO:0045664	6049
GO:0045664	6091
GO:0045664	6092
GO:0045664	6259
GO:0045664	6299
GO:0045664	6352
GO:0045664	6387
GO:0045664	6405
GO:0045664	6469
GO:0045664	6495
GO:0045664	6498
GO:0045664	6532
GO:0045664	6585
GO:0045664	6657
GO:0045664	6658
GO:0045664	6662
GO:0045664	6664
GO:0045664	6695
GO:0045664	6696
GO:0045664	6792
GO:0045664	6794
GO:0045664	6900
GO:0045664	6925
GO:0045664	6929
GO:0045664	6935
GO:0045664	7020
GO:0045664	7050
GO:0045664	7070
GO:0045664	7074
GO:0045664	7077
GO:0045664	7101
GO:0045664	7143
